protein1,protein2,score,disease
AGRP,CNTF,0.509,Alcoholic Fatty Liver Disease
AGRP,GCG,0.672,Alcoholic Fatty Liver Disease
AGRP,ADIPOQ,0.733,Alcoholic Fatty Liver Disease
AGRP,LEPR,0.881,Alcoholic Fatty Liver Disease
AGRP,INS,0.935,Alcoholic Fatty Liver Disease
AGRP,LEP,0.975,Alcoholic Fatty Liver Disease
AGRP,NPY,0.976,Alcoholic Fatty Liver Disease
AGRP,POMC,0.977,Alcoholic Fatty Liver Disease
AGRP,GHRL,0.978,Alcoholic Fatty Liver Disease
PRL,ADIPOQ,0.507,Alcoholic Fatty Liver Disease
PRL,NPY,0.55,Alcoholic Fatty Liver Disease
PRL,GHRL,0.615,Alcoholic Fatty Liver Disease
PRL,GCG,0.726,Alcoholic Fatty Liver Disease
PRL,LEPR,0.85,Alcoholic Fatty Liver Disease
PRL,CNTF,0.926,Alcoholic Fatty Liver Disease
PRL,INS,0.962,Alcoholic Fatty Liver Disease
PRL,POMC,0.971,Alcoholic Fatty Liver Disease
PRL,LEP,0.985,Alcoholic Fatty Liver Disease
LEP,CNTF,0.967,Alcoholic Fatty Liver Disease
LEP,GCG,0.976,Alcoholic Fatty Liver Disease
LEP,INS,0.985,Alcoholic Fatty Liver Disease
LEP,POMC,0.992,Alcoholic Fatty Liver Disease
LEP,ADIPOQ,0.994,Alcoholic Fatty Liver Disease
LEP,GHRL,0.994,Alcoholic Fatty Liver Disease
LEP,NPY,0.996,Alcoholic Fatty Liver Disease
LEP,LEPR,0.999,Alcoholic Fatty Liver Disease
LEPR,GHRL,0.696,Alcoholic Fatty Liver Disease
LEPR,GCG,0.733,Alcoholic Fatty Liver Disease
LEPR,NPY,0.862,Alcoholic Fatty Liver Disease
LEPR,CNTF,0.863,Alcoholic Fatty Liver Disease
LEPR,ADIPOQ,0.868,Alcoholic Fatty Liver Disease
LEPR,INS,0.886,Alcoholic Fatty Liver Disease
LEPR,POMC,0.917,Alcoholic Fatty Liver Disease
GHRL,ADIPOQ,0.844,Alcoholic Fatty Liver Disease
GHRL,POMC,0.933,Alcoholic Fatty Liver Disease
GHRL,GCG,0.979,Alcoholic Fatty Liver Disease
GHRL,NPY,0.983,Alcoholic Fatty Liver Disease
GHRL,INS,0.983,Alcoholic Fatty Liver Disease
CNTF,INS,0.586,Alcoholic Fatty Liver Disease
CNTF,NPY,0.615,Alcoholic Fatty Liver Disease
INS,NPY,0.918,Alcoholic Fatty Liver Disease
INS,POMC,0.947,Alcoholic Fatty Liver Disease
INS,ADIPOQ,0.961,Alcoholic Fatty Liver Disease
INS,GCG,0.998,Alcoholic Fatty Liver Disease
POMC,ADIPOQ,0.609,Alcoholic Fatty Liver Disease
POMC,GCG,0.922,Alcoholic Fatty Liver Disease
POMC,NPY,0.986,Alcoholic Fatty Liver Disease
NPY,ADIPOQ,0.596,Alcoholic Fatty Liver Disease
NPY,GCG,0.787,Alcoholic Fatty Liver Disease
GCG,ADIPOQ,0.767,Alcoholic Fatty Liver Disease
TIMP1,TIMP4,0.576,Alcoholic Hepatitis
TIMP1,TIMP2,0.582,Alcoholic Hepatitis
TIMP1,TIMP3,0.689,Alcoholic Hepatitis
TIMP1,THBS1,0.762,Alcoholic Hepatitis
TIMP1,TGFB1,0.882,Alcoholic Hepatitis
TIMP1,CD44,0.922,Alcoholic Hepatitis
TIMP1,MMP7,0.925,Alcoholic Hepatitis
TIMP1,MMP2,0.997,Alcoholic Hepatitis
TIMP1,MMP14,0.999,Alcoholic Hepatitis
MMP2,MMP7,0.961,Alcoholic Hepatitis
MMP2,TGFB1,0.962,Alcoholic Hepatitis
MMP2,TIMP4,0.963,Alcoholic Hepatitis
MMP2,CD44,0.971,Alcoholic Hepatitis
MMP2,SRC,0.972,Alcoholic Hepatitis
MMP2,THBS1,0.985,Alcoholic Hepatitis
MMP2,TIMP3,0.996,Alcoholic Hepatitis
MMP2,MMP14,0.997,Alcoholic Hepatitis
MMP2,TIMP2,0.999,Alcoholic Hepatitis
TGFB1,TIMP4,0.417,Alcoholic Hepatitis
TGFB1,MMP7,0.571,Alcoholic Hepatitis
TGFB1,MMP14,0.601,Alcoholic Hepatitis
TGFB1,TIMP3,0.743,Alcoholic Hepatitis
TGFB1,CD44,0.747,Alcoholic Hepatitis
TGFB1,SRC,0.787,Alcoholic Hepatitis
TGFB1,TIMP2,0.79,Alcoholic Hepatitis
TGFB1,THBS1,0.985,Alcoholic Hepatitis
MMP7,SRC,0.441,Alcoholic Hepatitis
MMP7,THBS1,0.603,Alcoholic Hepatitis
MMP7,TIMP4,0.718,Alcoholic Hepatitis
MMP7,TIMP3,0.922,Alcoholic Hepatitis
MMP7,TIMP2,0.951,Alcoholic Hepatitis
MMP7,CD44,0.973,Alcoholic Hepatitis
THBS1,MMP14,0.493,Alcoholic Hepatitis
THBS1,TIMP2,0.511,Alcoholic Hepatitis
THBS1,SRC,0.516,Alcoholic Hepatitis
THBS1,TIMP3,0.63,Alcoholic Hepatitis
THBS1,CD44,0.767,Alcoholic Hepatitis
TIMP2,CD44,0.465,Alcoholic Hepatitis
TIMP2,SRC,0.595,Alcoholic Hepatitis
TIMP2,TIMP4,0.709,Alcoholic Hepatitis
TIMP2,TIMP3,0.923,Alcoholic Hepatitis
TIMP2,MMP14,0.999,Alcoholic Hepatitis
TIMP3,CD44,0.403,Alcoholic Hepatitis
TIMP3,TIMP4,0.648,Alcoholic Hepatitis
TIMP3,MMP14,0.93,Alcoholic Hepatitis
TIMP4,MMP14,0.885,Alcoholic Hepatitis
MMP14,SRC,0.742,Alcoholic Hepatitis
MMP14,CD44,0.919,Alcoholic Hepatitis
SRC,CD44,0.972,Alcoholic Hepatitis
SIRT1,RRP8,0.996,Alcoholic Cirrhosis
SIRT1,ARNTL,0.997,Alcoholic Cirrhosis
SIRT1,PPARG,0.998,Alcoholic Cirrhosis
SIRT1,FOXO3,0.999,Alcoholic Cirrhosis
SIRT1,CLOCK,0.999,Alcoholic Cirrhosis
SIRT1,PPARGC1A,0.999,Alcoholic Cirrhosis
SIRT1,SUV39H1,0.999,Alcoholic Cirrhosis
SIRT1,CCAR2,0.999,Alcoholic Cirrhosis
SIRT1,FOXO1,0.999,Alcoholic Cirrhosis
RRP8,SUV39H1,0.996,Alcoholic Cirrhosis
PPARGC1A,CLOCK,0.717,Alcoholic Cirrhosis
PPARGC1A,ARNTL,0.785,Alcoholic Cirrhosis
PPARGC1A,TP53,0.887,Alcoholic Cirrhosis
PPARGC1A,FOXO3,0.987,Alcoholic Cirrhosis
PPARGC1A,PPARG,0.999,Alcoholic Cirrhosis
PPARGC1A,FOXO1,0.999,Alcoholic Cirrhosis
TP53,ARNTL,0.446,Alcoholic Cirrhosis
TP53,SUV39H1,0.573,Alcoholic Cirrhosis
TP53,CCAR2,0.726,Alcoholic Cirrhosis
TP53,FOXO1,0.886,Alcoholic Cirrhosis
TP53,PPARG,0.949,Alcoholic Cirrhosis
TP53,FOXO3,0.998,Alcoholic Cirrhosis
PPARG,CLOCK,0.508,Alcoholic Cirrhosis
PPARG,SUV39H1,0.514,Alcoholic Cirrhosis
PPARG,FOXO3,0.582,Alcoholic Cirrhosis
PPARG,ARNTL,0.59,Alcoholic Cirrhosis
PPARG,FOXO1,0.856,Alcoholic Cirrhosis
CCAR2,SUV39H1,0.625,Alcoholic Cirrhosis
FOXO3,ARNTL,0.529,Alcoholic Cirrhosis
FOXO3,FOXO1,0.955,Alcoholic Cirrhosis
FOXO1,ARNTL,0.41,Alcoholic Cirrhosis
ARNTL,CLOCK,0.999,Alcoholic Cirrhosis
IRAK2,TLR8,0.519,Non-Alcoholic Fatty Liver Disease
IRAK2,MAP3K7,0.636,Non-Alcoholic Fatty Liver Disease
IRAK2,LY96,0.702,Non-Alcoholic Fatty Liver Disease
IRAK2,IL1B,0.77,Non-Alcoholic Fatty Liver Disease
IRAK2,TLR2,0.793,Non-Alcoholic Fatty Liver Disease
IRAK2,TLR9,0.846,Non-Alcoholic Fatty Liver Disease
IRAK2,TLR3,0.883,Non-Alcoholic Fatty Liver Disease
IRAK2,TLR4,0.935,Non-Alcoholic Fatty Liver Disease
IRAK2,IRAK1,0.999,Non-Alcoholic Fatty Liver Disease
IRAK2,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
TLR2,MAP3K7,0.463,Non-Alcoholic Fatty Liver Disease
TLR2,TLR3,0.854,Non-Alcoholic Fatty Liver Disease
TLR2,TLR8,0.893,Non-Alcoholic Fatty Liver Disease
TLR2,TLR9,0.961,Non-Alcoholic Fatty Liver Disease
TLR2,IRAK1,0.962,Non-Alcoholic Fatty Liver Disease
TLR2,IL1B,0.969,Non-Alcoholic Fatty Liver Disease
TLR2,LY96,0.997,Non-Alcoholic Fatty Liver Disease
TLR2,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
TLR2,TLR4,0.999,Non-Alcoholic Fatty Liver Disease
IL1B,MAP3K7,0.683,Non-Alcoholic Fatty Liver Disease
IL1B,LY96,0.723,Non-Alcoholic Fatty Liver Disease
IL1B,TLR8,0.746,Non-Alcoholic Fatty Liver Disease
IL1B,TLR3,0.871,Non-Alcoholic Fatty Liver Disease
IL1B,TLR9,0.975,Non-Alcoholic Fatty Liver Disease
IL1B,TLR4,0.986,Non-Alcoholic Fatty Liver Disease
IL1B,IRAK1,0.991,Non-Alcoholic Fatty Liver Disease
IL1B,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
LY96,TLR8,0.69,Non-Alcoholic Fatty Liver Disease
LY96,TLR3,0.705,Non-Alcoholic Fatty Liver Disease
LY96,MAP3K7,0.707,Non-Alcoholic Fatty Liver Disease
LY96,TLR9,0.808,Non-Alcoholic Fatty Liver Disease
LY96,IRAK1,0.861,Non-Alcoholic Fatty Liver Disease
LY96,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
LY96,TLR4,0.999,Non-Alcoholic Fatty Liver Disease
TLR3,TLR9,0.856,Non-Alcoholic Fatty Liver Disease
TLR3,TLR4,0.907,Non-Alcoholic Fatty Liver Disease
TLR3,IRAK1,0.917,Non-Alcoholic Fatty Liver Disease
TLR3,TLR8,0.939,Non-Alcoholic Fatty Liver Disease
TLR3,MAP3K7,0.992,Non-Alcoholic Fatty Liver Disease
TLR3,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
TLR8,MAP3K7,0.52,Non-Alcoholic Fatty Liver Disease
TLR8,TLR4,0.712,Non-Alcoholic Fatty Liver Disease
TLR8,IRAK1,0.852,Non-Alcoholic Fatty Liver Disease
TLR8,TLR9,0.869,Non-Alcoholic Fatty Liver Disease
TLR8,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
TLR9,TLR4,0.979,Non-Alcoholic Fatty Liver Disease
TLR9,IRAK1,0.988,Non-Alcoholic Fatty Liver Disease
TLR9,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
MAP3K7,TLR4,0.972,Non-Alcoholic Fatty Liver Disease
MAP3K7,IRAK1,0.987,Non-Alcoholic Fatty Liver Disease
MAP3K7,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
IRAK1,TLR4,0.998,Non-Alcoholic Fatty Liver Disease
IRAK1,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
TLR4,MYD88,0.999,Non-Alcoholic Fatty Liver Disease
CCL2,CXCL11,0.796,Non-Alcoholic Steatohepatitis
CCL2,CXCL12,0.841,Non-Alcoholic Steatohepatitis
CCL2,CCL13,0.842,Non-Alcoholic Steatohepatitis
CCL2,CCL11,0.998,Non-Alcoholic Steatohepatitis
CCL2,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CCL13,CXCR3,0.903,Non-Alcoholic Steatohepatitis
CCL13,CCL11,0.996,Non-Alcoholic Steatohepatitis
CCL13,PF4,0.997,Non-Alcoholic Steatohepatitis
CCL13,CXCL12,0.998,Non-Alcoholic Steatohepatitis
CCL13,CCL21,0.998,Non-Alcoholic Steatohepatitis
CCL13,CCL5,0.998,Non-Alcoholic Steatohepatitis
CCL13,CXCL11,0.999,Non-Alcoholic Steatohepatitis
CCL13,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CCL13,CXCL10,0.999,Non-Alcoholic Steatohepatitis
CCL21,CCL11,0.661,Non-Alcoholic Steatohepatitis
CCL21,CXCR3,0.997,Non-Alcoholic Steatohepatitis
CCL21,PF4,0.998,Non-Alcoholic Steatohepatitis
CCL21,CXCL12,0.999,Non-Alcoholic Steatohepatitis
CCL21,CCL5,0.999,Non-Alcoholic Steatohepatitis
CCL21,CXCL11,0.999,Non-Alcoholic Steatohepatitis
CCL21,CXCL10,0.999,Non-Alcoholic Steatohepatitis
CCL21,CXCL9,0.999,Non-Alcoholic Steatohepatitis
PF4,CCL11,0.997,Non-Alcoholic Steatohepatitis
PF4,CXCL12,0.999,Non-Alcoholic Steatohepatitis
PF4,CCL5,0.999,Non-Alcoholic Steatohepatitis
PF4,CXCL11,0.999,Non-Alcoholic Steatohepatitis
PF4,CXCL10,0.999,Non-Alcoholic Steatohepatitis
PF4,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CCL11,CXCR3,0.989,Non-Alcoholic Steatohepatitis
CCL11,CCL5,0.995,Non-Alcoholic Steatohepatitis
CCL11,CXCL11,0.998,Non-Alcoholic Steatohepatitis
CCL11,CXCL12,0.998,Non-Alcoholic Steatohepatitis
CCL11,CXCL10,0.999,Non-Alcoholic Steatohepatitis
CCL11,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CXCL10,CXCL12,0.999,Non-Alcoholic Steatohepatitis
CXCL10,CXCR3,0.999,Non-Alcoholic Steatohepatitis
CXCL10,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CXCL10,CXCL11,0.999,Non-Alcoholic Steatohepatitis
CXCL11,CXCL12,0.999,Non-Alcoholic Steatohepatitis
CXCL11,CCL5,0.999,Non-Alcoholic Steatohepatitis
CXCL11,CXCL9,0.999,Non-Alcoholic Steatohepatitis
CXCL11,CXCR3,0.999,Non-Alcoholic Steatohepatitis
CXCL9,CXCR3,0.999,Non-Alcoholic Steatohepatitis
CXCL9,CXCL12,0.999,Non-Alcoholic Steatohepatitis
CXCL9,CCL5,0.999,Non-Alcoholic Steatohepatitis
CXCR3,CXCL12,0.998,Non-Alcoholic Steatohepatitis
CXCR3,CCL5,0.999,Non-Alcoholic Steatohepatitis
CXCL12,CCL5,0.999,Non-Alcoholic Steatohepatitis
IL2RB,BCL6,0.532,Liver Fibrosis
